05.07.2024                                                                                                                  Dynamic List Display                                                                                                                                                                            1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  Mn.wk.ctr|Description                             |Order     |Notifctn |Type|Room    |Equipment |Description of technical object         |Functional Location           |Cost Ctr |Created On|Bsc start |Basic fin.|User Status   |Revision|System status                          |Act. start|Actual end|MntPlan|MntItem|
|  PMHVACON |I00 HVAC AHS Air Audit for 2024 S/D     |4000145861|100101788|ZM01|        |          |                                        |TORB100                       |CA02T0111|15.05.2024|10.08.2024|10.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMHVAC   |Trailer 16 has broken A/C               |4000146471|100102084|ZM01|        |          |                                        |TOR0T16                       |         |22.05.2024|25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  PCNF JIPR MANC MOBI PRC  SETC     |22.05.2024|          |       |       |
|  PMPLMCON |I00 Plumber Support for B100 Shutdown   |4000146797|100102282|ZM01|        |          |                                        |TORB100                       |CA02T0111|24.05.2024|28.07.2024|28.07.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMPLMCON |I00 CP Area TufSteel Gasket Changes     |4000146798|100102264|ZM01|        |          |                                        |TORB100                       |CA02T0111|24.05.2024|01.07.2024|01.07.2024|PRCO RFEX     |        |REL  GMPS MANC PRC  SETC               |          |          |       |       |
|  PMPLMCON |B89 USP Rm125 Insulation repair         |4000147255|100100179|ZM01|        |          |                                        |TOR0B89                       |CA02T0043|27.05.2024|25.05.2024|25.05.2024|PRCO RFEX     |Z250524 |REL  ESTC MANC NMAT PRC  SETC          |          |          |       |       |
|  PMPLMCON |Washer alarming "Pump motor over current|4000147275|100102348|ZM01|238     |TORWAS1029|WASHER_ CAGE_RACK                       |TOR0B94-EQP001-WAM0001        |CA02T0028|28.05.2024|28.05.2024|28.05.2024|PRCO RFEX     |REPORT  |REL  GMPS MANC PRC  SETC               |          |          |       |       |
|  PMPLUMB  |B94 PMP1356 Pump not functioning        |4000147279|100102353|ZM01|249     |TORPMP1356|PUMP                                    |TOR0B94-BUS001-PUM0003        |CA02T0028|28.05.2024|08.06.2024|09.06.2024|PRCO RFEX     |Z080624 |REL  MANC MOBI PRC  SETC               |          |          |       |       |
|  PMELECT  |Electrical cord in Hoist snapped in MWS |4000147684|100102519|ZM02|        |          |                                        |TOR0B90                       |CA02T0167|29.05.2024|29.05.2024|29.05.2024|PRCO RFEX     |        |REL  MANC MOBI PRC  SETC               |          |          |       |       |
|  PMPLMCON |B90 JUne shutdown contractor support    |4000148015|100102940|ZM08|        |          |                                        |TOR0B90                       |CA02T0167|29.05.2024|01.06.2024|04.06.2024|PRCO          |REPORT  |REL  ESTC GMPS MANC PRC  SETC          |          |          |       |       |
|  PMPLUMB  |I00 blowdown valve for HVAC steam Gen   |4000148626|100102847|ZM01|        |100000490 |Steam to Steam Generator                |TORB100-BSS001-CDC0012        |CA02T0111|30.05.2024|29.05.2024|29.05.2024|PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC          |          |          |       |       |
|  PMMETRO  |PO for TORAPC1335                       |4000149397|100103403|ZM01|131     |TORAPC1335|Met One Unit                            |TOR0B93-LAB017-PAQ0002-AQM0026|CA02P0009|30.05.2024|30.05.2024|30.05.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC TTJL          |          |          |       |       |
|  PMMETRO  |PO for TORAPC1322                       |4000149398|100103404|ZM01|MOBILE  |TORAPC1322|Model 3425 50 LPM Air Particle Counters |TOR0B93-LAB017-PAQ0002-AQM0016|CA02P0009|30.05.2024|30.05.2024|30.05.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC TTJL          |          |          |       |       |
|  PMPLUMB  |Fix diverter in first shower stall mens |4000149519|100103464|ZM01|        |          |                                        |TOR0B61-BUI001                |CA02T0090|31.05.2024|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC|17.06.2024|03.07.2024|       |       |
|  PMMACCON |B92 MR1400 Scissor Lift Repairs         |4000158020|100109502|ZM01|1400    |          |                                        |TOR0B92-BUI001                |CA02T0024|06.06.2024|20.07.2024|20.07.2024|PRCO          |Z200724 |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMPLUMB  |B83 Massage Room Sink Replace Drain Pump|4000158632|100109511|ZM01|        |          |                                        |TOR0B83-BUI001                |CA02T0035|10.06.2024|13.07.2024|13.07.2024|PRCO RFEX     |Z130724 |REL  MANC PRC  SETC                    |          |          |       |       |
|  PMMACCON |Tank interior surface discoloration     |4000158644|100101179|ZM01|MOBILE  |TORTNK1583|TANK_ BUFFER_ 400L                      |TOR0B89-DSP014-TAN0048        |CA02T0043|10.06.2024|06.05.2024|06.05.2024|PRCO RFEX     |QUOTE   |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMREFRI  |B60 - BIF1481 fix the insulation        |4000158745|100096560|ZM01|245     |TORBIF1481|BIOFREEZER                              |TOR0B60-USP001-BFR0005        |CA02P0010|10.06.2024|13.07.2024|13.07.2024|PRCO RFEX     |Z130724 |REL  MANC MOBI PRC  SETC               |          |          |       |       |
|  PMELECT  |Frozen B93 UVL1011 hour meter           |4000158746|100095516|ZM01|008     |TORUVL1011|LAMP_UV                                 |TOR0B93-PWS005-XXX0001-UVL0001|CA02T0086|10.06.2024|22.06.2024|22.06.2024|PRCO ERAP RFEX|Z220624 |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC|22.06.2024|28.06.2024|       |       |
|  PMPLUMB  |Investigate AV-053 Sample Valve TNK2196 |4000158925|100112144|ZM02|2101    |TORTNK2196|DIP/TET MEDIA PREP TANK, 750L           |TORB100-MNT006-TAN0001        |CA02T0111|10.06.2024|10.06.2024|          |ERAP PRCO RFEX|        |TECO CNF  GMPS JBFI MANC MOBI PRC  SETC|21.06.2024|21.06.2024|       |       |
|  PMELECT  |I00 Investigate DRUPs Dripping Urea Tank|4000159136|100112330|ZM01|N/AP    |TORPOS1173|DRUPS 3125kVA/2500kW,600/347V 3P,4W,60Hz|TORB100-PMS001-XXX0001-JI00001|CA02T0111|11.06.2024|11.06.2024|12.06.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC|11.06.2024|23.06.2024|       |       |
|  PMPLUMB  |B84 - 84.1.3 has a broken gate valve    |4000159326|100112357|ZM01|        |          |                                        |TOR0B84-BUI001                |CA02T0101|12.06.2024|13.07.2024|13.07.2024|PRCO RFEX     |Z130724 |REL  MANC MOBI PRC  SETC               |          |          |       |       |
|  PMELECON |I00 RM1617 UPS Battery Replacement      |4000159954|100112986|ZM01|1617    |TORPOS1178|UPS DISTRIBUTION BOARD 1200A, 120/208V  |TORB100-ELS004-XXX0001-JI00001|CA02T0111|14.06.2024|06.07.2024|06.07.2024|PRCO RFEX     |S/D     |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMELECT  |Not Charging - loose handle             |4000159964|100112672|ZM01|        |TORAIS1265|MAS-100 Microbial Air Supplier          |TOR0B89-USP007-PAQ0001-FC00009|CA02T0045|14.06.2024|18.06.2024|19.06.2024|PRCO RFEX     |Z150624 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC|18.06.2024|          |       |       |
|  PMELECT  |RTD Reinforce Sleeve                    |4000159977|100112270|ZM01|        |TORFER0046|FERMENTER                               |TOR0B89-BIO002-FER0001        |CA02T0043|14.06.2024|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  GMPS MANC MOBI PRC  SETC          |          |          |       |       |
|  PMELECT  |relocate UPS lower (overheating alarm)  |4000159978|100112215|ZM01|168     |TORCON1069|CONTROL PANEL_BAS                       |TOR0B89-DCS001-CNP0001        |CA02T0043|14.06.2024|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  PCNF MANC MOBI PRC  SETC          |27.06.2024|          |       |       |
|  PMELECT  |B60-COLD WFI ISSUE                      |4000160041|100112975|ZM01|        |          |                                        |TOR0B60                       |CA02P0010|14.06.2024|03.07.2024|04.07.2024|PRCO RFEX     |Z290624 |REL  PCNF GMPS JIPR MANC MOBI PRC  SETC|17.06.2024|          |       |       |
|  PMPLUMB  |RM301 Still Leak                        |4000160042|100113040|ZM01|        |          |                                        |TOR0B90                       |CA02T0167|14.06.2024|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMELECT  |Light bulb AUT1125 Panel Acquisition    |4000160043|100113007|ZM01|        |          |                                        |TOR0B90                       |CA02T0167|14.06.2024|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC|26.06.2024|27.06.2024|       |       |
|  PMPLUMB  |replace biohazard filter                |4000160044|100113030|ZM01|103     |TORAUT1179|AUTOCLAVE, DECONTAMINATION              |TOR0B78-LAB001-AUT0001        |CA02T0104|14.06.2024|15.06.2024|15.06.2024|PRCO RFEX     |Z150624 |REL  MANC PRC  SETC                    |          |          |       |       |
|  PMPLUMB  |B90 PWS1013 Leaking Valve DIS-V-325     |4000160731|100113635|ZM01|        |TORPWS1013|PW Distribution Upgrades                |TOR0B90-PWS010                |CA02T0039|18.06.2024|18.06.2024|18.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B83-BASEMENT 134 CHW LEAK               |4000161032|100113878|ZM01|134     |          |                                        |TOR0B83-BUI001                |CA02T0035|19.06.2024|19.06.2024|19.06.2024|PRCO          |        |REL  NMAT PRC  SETC                    |          |          |       |       |
|  PMSTEAM  |B83 GLY1001 Leaking Pump                |4000161035|100113860|ZM01|163     |TORGLY1001|GLYCOL HEATING SYSTEM                   |TOR0B83-HRS001                |CA02T0090|19.06.2024|29.06.2024|29.06.2024|PRCO RFEX     |Z290624 |REL  GMPS PRC  SETC                    |          |          |       |       |
|  PMMACHI  |The UF process pump is leaking          |4000161041|100113828|ZM01|2429    |TORFIL1053|TETANUS TOXOID UF                       |TORB100-FIT007                |CA02T0111|19.06.2024|19.06.2024|19.06.2024|PRCO RFEX     |        |REL  CNF  GMPS JBFI MANC MOBI PRC  SETC|20.06.2024|28.06.2024|       |       |
|  PMSTEAM  |Attached a pressure additional gauge    |4000161239|100114059|ZM02|        |          |                                        |TOR0B90                       |CA02T0167|20.06.2024|20.06.2024|20.06.2024|PRCO RFEX     |        |REL  GMPS MANC MOBI PRC  SETC          |          |          |       |       |
|  PMCARCON |B83 RM348 Cover the Exposed Drain Pipe  |4000161299|100112922|ZM01|348     |          |                                        |TOR0B83-BUI001                |CA02T0035|20.06.2024|22.06.2024|22.06.2024|PRCO          |Z220624 |REL  NMAT PRC  SETC                    |          |          |       |       |
|  PMMFO    |I00 FIMCEN Testing Support for New Seals|4000161354|100114175|ZM01|2332    |TORCEN1552|FIM Tubular Centrifuge                  |TORB100-CES001-CEN0009        |CA02T0111|20.06.2024|27.06.2024|28.06.2024|PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC          |          |          |       |       |
|  PMELECT  |I00 Annual DRUPS Load Bank Testing      |4000161512|100114373|ZM01|N/AP    |TORPOS1173|DRUPS 3125kVA/2500kW,600/347V 3P,4W,60Hz|TORB100-PMS001-XXX0001-JI00001|CA02T0111|21.06.2024|06.08.2024|06.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMMACHI  |Motor Installation                      |4000161908|100113609|ZM01|        |          |                                        |TOR0B90                       |CA02T0167|24.06.2024|18.06.2024|18.06.2024|PRCO RFEX     |REPORT  |REL  MANC PRC  SETC                    |          |          |       |       |
|  PMCARCON |B58 Roof inspection May 2024 – roofing m|4000161913|100113394|ZM01|        |          |                                        |TOR0B89-BUI001                |CA02T0043|24.06.2024|17.06.2024|17.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B89E Roof repairs Quarterly Insp- Q1    |4000161914|100113348|ZM01|        |          |                                        |TOR0B89                       |CA02T0043|24.06.2024|17.06.2024|17.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMHVAC   |B95- BAHU1144 & AHU1146 BELTS           |4000161915|100113619|ZM01|407     |TORAHU1144|Fan Coil Unit Rm 246                    |TOR0B95-HVA005-AHU0009        |CA02P0036|24.06.2024|18.06.2024|18.06.2024|PRCO RFEX     |PARTS   |REL  GMPS MANC PRC  SETC               |          |          |       |       |
|  PMELECON |Light Pole Standard Repairs on site     |4000161987|100114121|ZM01|        |          |                                        |TOR0B00-BUI001                |CA02T0101|24.06.2024|20.06.2024|20.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |Repair 2 catch basin grates on Salk St  |4000161989|100114692|ZM01|        |          |                                        |TOR0B00-BUI001                |CA02T0101|24.06.2024|24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B61-South turnstile Not Working Properly|4000161999|100114722|ZM01|        |          |                                        |TOR0B61-BUI001                |CA02T0090|24.06.2024|24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B90 Ads/PPD Wall Touch Ups              |4000162078|100113375|ZM01|        |          |                                        |TOR0B90                       |CA02T0167|24.06.2024|22.06.2024|22.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |Q1-2 Walkthrough Adsorptions            |4000162104|100102404|ZM01|        |          |                                        |TOR0B90                       |CA02T0167|24.06.2024|28.05.2024|28.05.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMPLUMB  |capture cost vendor support JAN 2024    |4000162106|100113777|ZM01|        |TORCEN0081|CENTRIFUGE                              |TOR0B89-DSP003-CEN0001        |CA02T0043|24.06.2024|19.06.2024|19.06.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMELECON |B85 Generator, replace float switch.    |4000162137|100114736|ZM01|        |          |                                        |TOR0B85-BUI005-GEN0001        |CA02T0090|24.06.2024|24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMELECT  |I00 Troubleshoot Lighting UPS no Power  |4000162245|100114926|ZM02|1617    |TORPOS1178|UPS DISTRIBUTION BOARD 1200A, 120/208V  |TORB100-ELS004-XXX0001-JI00001|CA02T0111|25.06.2024|25.06.2024|28.06.2024|PRCO RFEX     |S/D     |REL  MANC MOBI PRC  SETC               |          |          |       |       |
|  PMHVAC   |I00 Investigate AHS11 Shutdown 25Jun2024|4000162353|100114947|ZM02|3603    |TORAHU1196|AIR HANDLING UNIT 11                    |TORB100-HVA001-AHU0018        |CA02T0111|25.06.2024|25.06.2024|28.06.2024|PRCO RFEX     |        |REL  MANC MOBI NMAT PRC  SETC          |          |          |       |       |
|  PMCARCON |B100 Main Entrance Door Closer Repair   |4000162405|100114735|ZM01|        |          |                                        |TORB100-BUI001                |CA02T0111|25.06.2024|24.06.2024|24.06.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMMACCON |I00 Passivation of CP Stainless Screens |4000162501|100115040|ZM01|        |          |                                        |TORB100                       |CA02T0111|25.06.2024|03.08.2024|03.08.2024|PRCO RFEX     |        |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMELECT  |B85-LOW BATTERY ALARM                   |4000163444|100115468|ZM02|        |TORGEN1010|GENERATOR _SERVES SITE                  |TOR0B85-BUI005-GEN0001        |CA02T0090|27.06.2024|27.06.2024|          |PRCO RFEX     |        |REL  CNF  JBFI MANC MOBI NMAT PRC  SETC|27.06.2024|27.06.2024|       |       |
|  PMCARCON |B94-CHILLED WATER LINE INSULATION       |4000164492|100115366|ZM01|        |          |                                        |TOR0B94-BUI001                |CA02T0028|02.07.2024|27.06.2024|27.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMREFCON |B96-CONDENSER FAN MOTORS                |4000164495|100115443|ZM01|104     |          |                                        |TOR0B96-BUI001                |CA02T0091|02.07.2024|27.06.2024|27.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B90 May corrective actions              |4000164511|100115167|ZM01|        |          |                                        |TOR0B90-BUI001                |CA02T0039|02.07.2024|26.06.2024|26.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B83 Roof June corrective actions        |4000164601|100115194|ZM01|        |          |                                        |TOR0B83-BUI001                |CA02T0035|02.07.2024|29.06.2024|29.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B93 May Corrective actions–Exist Roof   |4000164602|100115733|ZM01|        |          |                                        |TOR0B93                       |CA02P0009|02.07.2024|29.06.2024|29.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMCARCON |B95 May Corrective actions–Exist Roof   |4000164604|100115742|ZM01|VARIOUS |          |                                        |TOR0B95-BUI001                |CA02T0091|02.07.2024|29.06.2024|29.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMPLUMB  |Replacing Pressure Regulator            |4000164606|100116553|ZM01|        |          |                                        |TOR0B90                       |CA02T0167|02.07.2024|02.07.2024|02.07.2024|PRCO RFEX     |        |REL  MANC PRC  SETC                    |          |          |       |       |
|  PMMACCON |TNK1859 to be for polish and passivation|4000164607|100114839|ZM01|        |TORTNK1859|TANK, MOBILE, 400L 89E BUFFER           |TOR0B89-USP008-TAN0007        |CA02T0045|02.07.2024|24.06.2024|24.06.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMELECT  |Water meter replacement                 |4000164609|100116590|ZM01|101     |TORCHA1005|CHILLED WATER SYSTEM                    |TOR0B54-CWS002                |CA02T0088|02.07.2024|02.07.2024|02.07.2024|PRCO          |PARTS   |REL  MANC PRC  SETC                    |          |          |       |       |
|  PMREFCON |replace orp sensor for COT1012          |4000164610|100103410|ZM01|101     |TORCHA1005|CHILLED WATER SYSTEM                    |TOR0B54-CWS002                |CA02T0088|02.07.2024|30.05.2024|30.05.2024|PRCO          |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMMACCON |B92 Pump Truck Safety Inspections       |4000165183|100116810|ZM01|        |          |                                        |TOR0B92-BUI001                |CA02T0024|04.07.2024|13.07.2024|13.07.2024|PRCO          |Z130724 |REL  MANC NMAT PRC  SETC               |          |          |       |       |
|  PMPLMCON |B72-THIRDFLOOR REBUILD CONTROL VALVE    |4000166049|100116813|ZM01|        |          |                                        |TOR0B72-BUI001                |CA02T0090|04.07.2024|03.07.2024|03.07.2024|PRCO RFEX     |REPORT  |REL  MANC NMAT PRC  SETC               |          |          |       |       |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
